order_month,total_orders,total_revenue
2016-09,1,134.97
2016-10,265,40325.11
2016-12,1,10.9
2017-01,750,111798.36
2017-02,1653,234223.4
2017-03,2546,359198.85
2017-04,2303,340669.68
2017-05,3546,489338.25
2017-06,3135,421923.37
2017-07,3872,481604.52
2017-08,4193,554699.7
2017-09,4150,607399.67
2017-10,4478,648247.65
2017-11,7289,987765.37
2017-12,5513,726033.19
2018-01,7069,924645.0
2018-02,6555,826437.13
2018-03,7003,953356.25
2018-04,6798,973534.09
2018-05,6749,977544.69
2018-06,6099,856077.86
2018-07,6159,867953.46
2018-08,6351,838576.64
