product_category_name,total_orders,total_revenue
beleza_saude,8836,1258681.34
relogios_presentes,5624,1205005.68
cama_mesa_banho,9417,1036988.68
esporte_lazer,7720,988048.97
informatica_acessorios,6689,911954.32
moveis_decoracao,6449,729762.49
cool_stuff,3632,635290.85
utilidades_domesticas,5884,632248.66
automotivo,3897,592720.11
ferramentas_jardim,3518,485256.46
brinquedos,3886,483946.6
bebes,2885,411764.89
perfumaria,3162,399124.87
telefonia,4199,323667.53
moveis_escritorio,1273,273960.7
papelaria,2311,230943.23
pcs,181,222963.13
pet_shop,1710,214315.41
instrumentos_musicais,628,191498.88
eletroportateis,630,190648.58
eletronicos,2550,160246.74
consoles_games,1062,157465.22
fashion_bolsas_e_acessorios,1864,152823.54
construcao_ferramentas_construcao,748,144677.59
malas_acessorios,1034,140429.98
eletrodomesticos_2,234,113317.74
casa_construcao,490,83088.12
eletrodomesticos,764,80171.53
agro_industria_e_comercio,182,72530.47
moveis_sala,422,68916.56
telefonia_fixa,217,59583.0
casa_conforto,397,58572.04
climatizacao,253,55024.96
audio,350,50688.5
portateis_casa_forno_e_cafe,75,47445.71
livros_interesse_geral,512,46856.88
moveis_cozinha_area_de_servico_jantar_e_jardim,248,46328.37
construcao_ferramentas_iluminacao,244,41080.0
construcao_ferramentas_seguranca,167,40544.52
industria_comercio_e_negocios,235,39669.61
alimentos,450,29393.41
market_place,280,28378.47
construcao_ferramentas_jardim,194,25715.89
artes,202,24202.64
fashion_calcados,240,23562.77
bebidas,297,22428.7
sinalizacao_e_seguranca,140,21509.23
moveis_quarto,95,20028.78
livros_tecnicos,260,19096.06
construcao_ferramentas_ferramentas,97,15903.95
alimentos_bebidas,227,15179.48
fashion_roupa_masculina,112,10797.82
fashion_underwear_e_moda_praia,121,9541.55
artigos_de_natal,128,8800.82
tablets_impressao_imagem,79,7528.41
cine_foto,65,6933.46
musica,38,6034.35
dvds_blu_ray,59,5999.39
livros_importados,53,4639.85
artigos_de_festas,39,4485.18
moveis_colchao_e_estofado,38,4368.08
portateis_cozinha_e_preparadores_de_alimentos,14,3968.53
fashion_roupa_feminina,39,2803.64
fashion_esporte,27,2119.51
la_cuisine,13,2054.99
artes_e_artesanato,23,1814.01
fraldas_higiene,27,1567.59
pc_gamer,8,1545.95
flores,29,1110.04
casa_conforto_2,24,760.27
cds_dvds_musicais,12,730.0
fashion_roupa_infanto_juvenil,8,569.85
seguros_e_servicos,2,283.29
