delivery_days,avg_review_score,total_orders
0,5.0,1
1,4.53,629
2,4.49,2871
3,4.43,3450
4,4.45,4499
5,4.4,5255
6,4.38,6505
7,4.38,7469
8,4.36,7124
9,4.33,6263
10,4.29,5780
11,4.3,5264
12,4.26,4929
13,4.27,4525
14,4.21,4100
15,4.21,3322
16,4.18,2823
17,4.1,2497
18,4.06,2284
19,4.09,1934
20,4.08,1795
21,3.98,1515
22,3.87,1370
23,3.74,1116
24,3.72,995
25,3.54,876
26,3.47,716
27,3.43,668
28,3.16,618
29,3.09,528
30,3.07,427
31,2.75,393
32,2.66,357
33,2.69,306
34,2.53,309
35,2.38,282
36,2.31,252
37,2.12,197
38,1.91,169
39,2.1,170
40,2.06,128
41,1.98,172
42,2.06,134
43,1.93,126
44,1.88,117
45,1.81,96
46,1.63,112
47,1.49,81
48,1.72,67
49,1.44,59
50,1.69,68
51,1.56,48
52,1.83,46
53,1.57,37
54,1.89,38
55,1.32,28
56,1.62,39
57,1.57,23
58,1.69,26
59,1.73,22
60,1.53,19
