customer_state,total_orders,total_revenue
SP,40501,5067633.16
RJ,12350,1759651.13
MG,11354,1552481.83
RS,5345,728897.47
PR,4923,666063.51
SC,3546,507012.13
BA,3256,493584.14
DF,2080,296498.41
GO,1957,282836.7
ES,1995,268643.45
PE,1593,251889.49
CE,1279,219757.38
PA,946,174470.59
MT,886,152191.62
MA,717,117009.38
MS,701,115429.97
PB,517,112586.82
PI,476,84721.0
RN,474,82105.66
AL,397,78855.72
SE,335,56574.19
TO,274,48402.51
RO,243,45682.76
AM,145,22155.84
AC,80,15930.97
AP,67,13374.81
RR,41,7057.47
