payment_type,payment_installments,total_transactions,avg_transaction_value
boleto,1,19191,144.33
credit_card,0,2,94.31
credit_card,1,24759,95.6
credit_card,2,12075,126.59
credit_card,3,10164,142.0
credit_card,4,6891,163.64
credit_card,5,5095,182.3
credit_card,6,3804,208.54
credit_card,7,1563,185.95
credit_card,8,4136,306.29
credit_card,9,618,197.97
credit_card,10,5150,410.54
credit_card,11,22,125.6
credit_card,12,128,324.41
credit_card,13,15,151.83
credit_card,14,14,169.36
credit_card,15,72,431.13
credit_card,16,5,292.69
credit_card,17,7,174.52
credit_card,18,27,486.48
credit_card,20,16,641.78
credit_card,21,3,243.7
credit_card,22,1,228.71
credit_card,23,1,236.48
credit_card,24,18,610.05
debit_card,1,1486,140.26
voucher,1,5493,62.45
